metric,direct_stage_a_at_8200,stage0_then_stage_a_at_8200,stage0_over_direct
raw_mean_loss,6.48277725814,3.29100099604,0.507652949499
allocation,0.0302934087813,0.0371172130108,1.22525706099
anchor_ground,0.184384986758,0.153673231602,0.833436790617
anchor_kind,0.00133402727079,0.00640559429303,4.80169666191
anchor_presence,0.198609858751,0.260426819324,1.31124819766
argument_ground,0.10360082984,0.0768193900585,0.741493964647
argument_presence,3.29549220623e-05,0.000143293102155,4.34815478806
auxiliary,0,0,nan
convergence,0.0384181253612,0.093535579741,2.43467318776
display,5.6536450386,2.31330037117,0.409169722431
intent,0.0122095011175,0.016452498734,1.34751605129
lifecycle,0.0463284887373,0.103029288352,2.22388623414
link_ground,0.112510114908,0.12679721415,1.12698502045
link_presence,0.139856800437,0.215612754226,1.54166800293
link_relation,5.99376471655e-05,5.27145530214e-05,0.879489861786
link_target_kind,9.14296833798e-07,1.6489984489e-08,0.0180357011852
need_cell_route,0.263920605183,0.310865134001,1.17787367828
need_display_route,0.00209023081698,0.00243595684879,1.16540088731
noise,0.0112135140225,0.0371281206608,3.31101567146
refresh,0.0001076384724,0.0022389490623,20.8006395146
revision,0.0200827624649,0.0257385913283,1.28162603991
roles,0.124854691327,0.159644499421,1.27864237799
source,0.399393558502,0.392877846956,0.9836859874
thought,0.40319737792,0.507522404194,1.25874430735
uncertainty,0.0130352983251,0.0175394769758,1.34553705932
